Security Code,Security Id,Security Name,Group,Industry,Instrument
950105,990RHFL2024,Reliance Home Finance Ltd,F ,Housing Finance ,Debentures and Bonds
950108,8ALRPL23A,Ashiana Landcraft Realty Pvt Ltd,F ,Realty,Debentures and Bonds
950109,8ALRPL23B,Ashiana Landcraft Realty Pvt Ltd,F ,Realty,Debentures and Bonds
950191,1008IOT22A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950192,1008IOT22B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950193,1008IOT22C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950194,1008IOT23A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950195,1008IOT23B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950196,1008IOT23C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950197,1008IOT24A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950198,1008IOT24B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950199,1063IOT28A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950200,1008IOT24C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950201,1063IOT28B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950202,1008IOT25A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950203,1063IOT28C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950204,1008IOT25B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950205,1063IOT28D,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950206,1008IOT25C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950207,1063IOT28E,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950208,1063IOT28F,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950210,1008IOT26A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950211,1008IOT26B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950212,1008IOT26C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950213,1008IOT27A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950214,1008IOT27B,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950215,1008IOT27C,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
950216,1008IOT28A,IOT Utkal Energy Services Ltd,F ,Construction & Engineering,Debentures and Bonds
